file,case,kind,detail
test_ops.py,test_complex_ops,named,ArcSin dtype
test_ops.py,test_complex_ops,named,ArcTan dtype
test_ops.py,test_complex_ops,named,Sqrt dtype
test_ops.py,test_complex_ops,named,Rsqrt dtype
test_ops.py,test_complex_power,named,Power dtype
test_ops.py,test_divmod,named,DivMod dtype
test_ops.py,test_hadamard_grad_vmap,named,dtype converting copy
test_ops.py,test_integer_power,named,Power dtype
test_ops.py,test_irregular_alignments,named,dtype converting copy
test_ops.py,test_irregular_binary_ops,assert,
test_ops.py,test_large_binary,named,Add dtype
test_ops.py,test_linspace,named,Abs dtype
test_ops.py,test_linspace_endpoint,named,Abs dtype
test_ops.py,test_log,named,Log dtype
test_ops.py,test_log10,named,Log10 dtype
test_ops.py,test_log1p,named,Log1p dtype
test_ops.py,test_log2,named,Log2 dtype
test_ops.py,test_logcumsumexp,named,Scan LogAddExp
test_ops.py,test_logical_and,assert,
test_ops.py,test_logical_not,assert,
test_ops.py,test_logical_or,assert,
test_ops.py,test_masked_scatter,assert,
test_ops.py,test_median_nan,named,Sort dtype
test_ops.py,test_meshgrid,named,Abs dtype
test_ops.py,test_outer,named,Abs dtype
test_ops.py,test_pad,named,non-zero fill
test_ops.py,test_pad,named,non-zero fill
test_ops.py,test_put_along_axis,assert,
test_ops.py,test_remainder,named,Negative dtype
test_ops.py,test_round,named,Round dtype
test_ops.py,test_scalar_inputs,named,Add dtype
test_ops.py,test_scans,named,Scan dtype
test_ops.py,test_scans_complex_exclusive,named,Scan dtype
test_ops.py,test_searchsorted,assert,
test_ops.py,test_sign,named,Sign dtype
test_ops.py,test_sin,other,RuntimeError: [omarchy] Sin argument magnitude 1000000015047466219876688855040.000000 exce
test_ops.py,test_softmax,assert,
test_ops.py,test_sort,assert,
test_ops.py,test_sort,assert,
test_ops.py,test_sort,assert,
test_ops.py,test_sort,assert,
test_ops.py,test_sort,assert,
test_ops.py,test_sort,assert,
test_ops.py,test_sort,assert,
test_ops.py,test_sort,assert,
test_ops.py,test_sort,assert,
test_ops.py,test_sort,assert,
test_ops.py,test_sort,assert,
test_ops.py,test_sort_nan,named,Sort dtype
test_ops.py,test_std,named,Sum dtype
test_ops.py,test_subnormal_bool_cast,named,dtype converting copy
test_ops.py,test_take_along_axis,named,Take dtype
test_ops.py,test_tile,named,rank>4 strided copy
test_ops.py,test_trace,named,Arange dtype
test_ops.py,test_trig_ops,named,Abs dtype
test_ops.py,test_trig_ops,named,Abs dtype
test_ops.py,test_trig_ops,named,Tan dtype
test_ops.py,test_trig_ops,named,Sinh dtype
test_ops.py,test_trig_ops,named,Cosh dtype
test_ops.py,test_trig_ops,named,Tanh dtype
test_ops.py,test_unstack,named,strided copy
test_ops.py,test_var,named,Sum dtype
test_ops.py,test_vecdot,named,Sum dtype
test_ops.py,test_view,assert,
test_optimizers.py,test_adafactor,named,Add dtype
test_optimizers.py,test_optimizers,named,Add dtype
test_optimizers.py,test_compile_with_schedule,named,dtype converting copy
test_optimizers.py,test_decay_lr,named,Divide dtype
test_optimizers.py,test_linear_warmup_with_cosine_decay,named,Add dtype
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv,named,Quantize mode
test_quantized.py,test_fp_qmv_large_output,named,Quantize mode
test_quantized.py,test_fp_qmv_large_output,named,Quantize mode
test_quantized.py,test_fp_qvm,named,Quantize mode
test_quantized.py,test_fp_qvm,named,Quantize mode
