file,case,kind,detail
test_autograd.py,test_complex_prod_vjp,named,Take dtype
test_autograd.py,test_complex_unary_vjps,named,Abs dtype
test_autograd.py,test_complex_vjps,named,non-zero scalar fill
test_autograd.py,test_cummax_grad,named,Select dtype
test_autograd.py,test_cummin_grad,named,Select dtype
test_autograd.py,test_cumprod_grad,named,Select layout
test_autograd.py,test_eval_in_grad,assert,
test_autograd.py,test_jvp_through_bitwise_ops,named,BitwiseOr dtype
test_autograd.py,test_jvp_with_partly_traced_inputs,named,dtype converting copy
test_autograd.py,test_power_grad,named,dtype converting copy
test_autograd.py,test_reduce_jvp,named,Multiply dtype
test_autograd.py,test_scatter_add_vjp,named,matrix layout Take
test_autograd.py,test_scatter_max_vjp,named,matrix layout Take
test_autograd.py,test_scatter_min_vjp,named,matrix layout Take
test_autograd.py,test_scatter_vjp,named,matrix layout Take
test_autograd.py,test_second_order_permutation_ops,named,Select dtype
test_autograd.py,test_slice_grads,named,negative stride copy
test_autograd.py,test_slice_update_max_vjp,named,SliceUpdate reduce
test_autograd.py,test_slice_update_min_vjp,named,SliceUpdate reduce
test_autograd.py,test_slice_update_multiply_vjp,named,SliceUpdate reduce
test_autograd.py,test_sort_grad,named,non-suffix ArgSort
test_autograd.py,test_split_against_slice,named,non-contiguous Multiply
test_autograd.py,test_stop_gradient_computed_indices,named,Scatter Sum dtype
test_autograd.py,test_take_along_axis_complex_vjp,named,ScatterAxis dtype
test_bf16.py,test_arg_reduction_ops,named,non-suffix ArgMin
test_blas.py,test_addmm,named,broadcast AddMM
test_blas.py,test_block_masked_matmul,named,strided copy
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_block_masked_matmul,named,strided reshape
test_blas.py,test_complex_gemm,named,dtype converting copy
test_blas.py,test_complex_gemv,named,dtype converting copy
test_blas.py,test_gather_matmul,named,dtype converting copy
test_blas.py,test_gather_matmul,named,dtype converting copy
test_blas.py,test_gather_matmul,named,Arange dtype
test_blas.py,test_gather_matmul,named,Arange dtype
test_blas.py,test_gather_matmul,named,dtype converting copy
test_blas.py,test_gather_matmul,named,dtype converting copy
test_blas.py,test_gather_matmul,named,dtype converting copy
test_blas.py,test_gather_matmul,named,dtype converting copy
test_blas.py,test_gather_matmul,named,dtype converting copy
test_blas.py,test_gather_matmul,named,dtype converting copy
test_blas.py,test_gather_matmul,named,dtype converting copy
test_blas.py,test_gather_matmul,named,dtype converting copy
test_blas.py,test_gather_matmul,named,dtype converting copy
test_blas.py,test_gather_matmul_grad,named,matrix layout Take
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,matrix layout Take
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,matrix layout Take
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,Arange dtype
test_blas.py,test_gather_mm_blocks,named,matrix layout Take
test_blas.py,test_gather_mm_sorted,named,Minimum dtype
test_blas.py,test_gather_mm_sorted,named,Minimum dtype
test_blas.py,test_gather_mm_sorted_vjp,named,Minimum dtype
test_blas.py,test_matrix_vector_attn,named,rank>4 strided copy
test_blas.py,test_matrix_vector_attn,named,rank>4 strided copy
test_blas.py,test_matrix_vector_batched,named,matrix rank Matmul
test_blas.py,test_matrix_vector_batched,named,matrix rank Matmul
test_blas.py,test_segmented_mm,named,dtype converting copy
test_compile.py,test_compile_abs_unsigned,named,Abs dtype
test_compile.py,test_compile_capture,named,Add dtype
test_compile.py,test_compile_donates_input_buffer,cpucpu,IndexError cpu stream table
test_compile.py,test_compile_dynamic_dims,named,broadcast rank Add
test_compile.py,test_compile_equal_nan,named,Equal dtype
test_compile.py,test_compile_inputs_with_primitives,named,Add dtype
test_compile.py,test_compile_kwargs,named,Add dtype
test_compile.py,test_compile_many_inputs,named,non-zero scalar fill
test_compile.py,test_compile_multi_output,named,non-zero scalar fill
test_compile.py,test_compile_negative_strides,named,negative stride copy
test_compile.py,test_compile_nonfinite_constants,named,matrix layout Take
test_compile.py,test_compile_output_with_siblings,named,non-contiguous LayerNormVJP
test_compile.py,test_compile_rng_across_threads,other,KeyError: 'advances'
test_compile.py,test_compile_types,named,Add dtype
test_compile.py,test_compile_with_closure,named,Add dtype
test_compile.py,test_compile_with_constant,named,Add dtype
test_compile.py,test_compiled_subnormal_bool_cast,named,dtype converting copy
test_compile.py,test_double_constant,cpucpu,IndexError cpu stream table
test_compile.py,test_dtypes,named,dtype converting copy
test_compile.py,test_function_creates_array,named,Add dtype
test_compile.py,test_inf_constant,named,Select dtype
